"Nhóm kiểm thử","Tên testcase","Cách thực hiện và Điều kiện PASS","Kết quả"
"kiểm tra interrupt","int_tx_err_100M_test","Cấu hình MAC 100M, enable IER bit TX_ERR và tạo điều kiện lỗi truyền bằng PHY/VIP stimulus tương ứng. PASS khi interrupt xuất hiện, FSR bit TX_ERR được set đúng và không có UVM_ERROR/UVM_FATAL ngoài lỗi mong đợi của testcase.","FAIL"
"kiểm tra interrupt","int_tx_err_10M_test","Cấu hình MAC 10M, enable IER bit TX_ERR và tạo điều kiện lỗi truyền bằng PHY/VIP stimulus tương ứng. PASS khi interrupt xuất hiện, FSR bit TX_ERR được set đúng và không có UVM_ERROR/UVM_FATAL ngoài lỗi mong đợi của testcase.","FAIL"
"kiểm tra interrupt","int_rx_avail_100M_test","Cấu hình MAC 100M, enable IER bit RX_AVAIL và phát một Ethernet frame hợp lệ từ PHY VIP. PASS khi interrupt xuất hiện, FSR bit RX_AVAIL được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_rx_avail_10M_test","Cấu hình MAC 10M, enable IER bit RX_AVAIL và phát một Ethernet frame hợp lệ từ PHY VIP. PASS khi interrupt xuất hiện, FSR bit RX_AVAIL được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_rx_busy_100M_test","Cấu hình MAC 100M, enable IER bit RX_BUSY và phát nhiều RX frame để gây trạng thái RX busy/buffer busy. PASS khi interrupt xuất hiện, FSR bit RX_BUSY được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_rx_busy_10M_test","Cấu hình MAC 10M, enable IER bit RX_BUSY và phát nhiều RX frame để gây trạng thái RX busy/buffer busy. PASS khi interrupt xuất hiện, FSR bit RX_BUSY được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_rx_err_100M_test","Cấu hình MAC 100M, enable IER bit RX_ERR và phát bad-FCS frame từ PHY VIP. PASS khi interrupt xuất hiện, FSR bit RX_ERR được set đúng và không có UVM_ERROR/UVM_FATAL ngoài lỗi mong đợi của testcase.","FAIL"
"kiểm tra interrupt","int_rx_err_10M_test","Cấu hình MAC 10M, enable IER bit RX_ERR và phát bad-FCS frame từ PHY VIP. PASS khi interrupt xuất hiện, FSR bit RX_ERR được set đúng và không có UVM_ERROR/UVM_FATAL ngoài lỗi mong đợi của testcase.","FAIL"
"kiểm tra interrupt","int_rx_pause_seen_100M_test","Cấu hình MAC 100M, enable RX PAUSE và IER bit RX_PAUSE_SEEN, phát PAUSE frame hợp lệ từ PHY VIP. PASS khi interrupt xuất hiện, FSR bit RX_PAUSE_SEEN được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_rx_pause_seen_10M_test","Cấu hình MAC 10M, enable RX PAUSE và IER bit RX_PAUSE_SEEN, phát PAUSE frame hợp lệ từ PHY VIP. PASS khi interrupt xuất hiện, FSR bit RX_PAUSE_SEEN được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
